"tract","Name","Incarceration_Rate_rP_gP_pall"
6037269601,"Central LA, Los Angeles, CA",0.0264
6037218800,"Central LA, Los Angeles, CA",0.0263
6037239502,"South Los Angeles, Los Angeles, CA",0.0263
6037238320,"South Figueroa Corridor, Los Angeles, CA",0.0263
6037234901,"Park Mesa Heights, Los Angeles, CA",0.0262
6037199900,"Montecito Heights, Los Angeles, CA",0.0262
6037207302,"Central LA, Los Angeles, CA",0.0262
6037204200,"Boyle Heights, Los Angeles, CA",0.0261
6037224320,"Central LA, Los Angeles, CA",0.026
6037241300,"Harbor Gateway North, Los Angeles, CA",0.0258
6037570301,"North Long Beach, Long Beach, CA",0.0258
6037501001,"Whittier, CA",0.0256
6037600601,"Inglewood, CA",0.0256
6037236202,"Baldwin Village, Los Angeles, CA",0.0254
6037603102,"Gardena, CA",0.0254
6037232300,"South Los Angeles, Los Angeles, CA",0.0254
6037602504,"Hawthorne, CA",0.0252
6037542106,"East Compton, CA",0.0252
6037211802,"Central LA, Los Angeles, CA",0.0251
6037270200,"Palms, Los Angeles, CA",0.0251
6037243100,"South Los Angeles, Los Angeles, CA",0.0248
6037601401,"Inglewood, CA",0.0248
6037229200,"South Los Angeles, Los Angeles, CA",0.0246
6037241001,"South Los Angeles, Los Angeles, CA",0.0245
6037540203,"Lynwood, CA",0.0244
6037700501,"Central LA, West Hollywood, CA",0.0242
6037542501,"Compton, CA",0.0242
6037273700,"Venice, Los Angeles, CA",0.0242
6037240010,"South Los Angeles, Los Angeles, CA",0.0241
6037208802,"Central LA, Los Angeles, CA",0.0239
6037203600,"Boyle Heights, Los Angeles, CA",0.0238
6037531502,"East Los Angeles, CA",0.0238
6037204420,"Boyle Heights, Los Angeles, CA",0.0238
6037542800,"Compton, CA",0.0238
6037239201,"South Los Angeles, Los Angeles, CA",0.0237
6037226410,"South Los Angeles, Los Angeles, CA",0.0237
6037602104,"Hawthorne, CA",0.0236
6037602404,"Hawthorne, CA",0.0236
6037535101,"South Los Angeles, Los Angeles, CA",0.0235
6037553504,"Paramount, CA",0.0234
6037480902,"Alhambra, CA",0.0234
6037234501,"South Los Angeles, Los Angeles, CA",0.0234
6037212501,"Central LA, Los Angeles, CA",0.0233
6037541100,"Compton, CA",0.0232
6037540902,"South Los Angeles, Los Angeles, CA",0.0231
6037530700,"Los Angeles, CA",0.0231
6037531102,"Los Angeles, CA",0.023
6037221210,"Central LA, Los Angeles, CA",0.023
6037235100,"Park Mesa Heights, Los Angeles, CA",0.023
6037209820,"Central LA, Los Angeles, CA",0.023
6037231800,"South Figueroa Corridor, Los Angeles, CA",0.0228
6037570100,"Ramona Park, Long Beach, CA",0.0228
6037541500,"South Los Angeles, Compton, CA",0.0228
6037541605,"Compton, CA",0.0228
6037231500,"Leimert Park, Los Angeles, CA",0.0228
6037542601,"Compton, CA",0.0225
6037191500,"Central LA, Los Angeles, CA",0.0224
6037208402,"Central LA, Los Angeles, CA",0.0224
6037208620,"Central LA, Los Angeles, CA",0.0224
6037237710,"South Figueroa Corridor, Los Angeles, CA",0.0223
6037553902,"Paramount, CA",0.0223
6037553601,"Paramount, CA",0.0223
6037534406,"Cudahy, CA",0.0221
6037530802,"Los Angeles, CA",0.0221
6037535001,"South Los Angeles, Los Angeles, CA",0.0219
6037208301,"Central LA, Los Angeles, CA",0.0219
6037701100,"West Los Angeles, Los Angeles, CA",0.0219
6037239602,"South Los Angeles, Los Angeles, CA",0.0219
6037195902,"Silver Lake, Los Angeles, CA",0.0218
6037601001,"Inglewood, CA",0.0217
6037501400,"Whittier, CA",0.0216
6037213402,"Central LA, Los Angeles, CA",0.0216
6037234200,"Leimert Park, Los Angeles, CA",0.0215
6037535002,"South Los Angeles, Los Angeles, CA",0.0215
6037277400,"Los Angeles, CA",0.0214
6037502302,"Whittier, CA",0.0214
