"tract","Name","Number_of_Children_rP_gP_pall"
6037240900,"South Los Angeles, Los Angeles, CA",1875
6037226420,"South Los Angeles, Los Angeles, CA",1874
6037602404,"Hawthorne, CA",1870
6037602003,"Inglewood, CA",1870
6037570601,"Lindbergh, Long Beach, CA",1869
6037222600,"South Los Angeles, Los Angeles, CA",1869
6037534406,"Cudahy, CA",1865
6037228600,"South Los Angeles, Los Angeles, CA",1864
6037570304,"North Long Beach, Long Beach, CA",1863
6037231800,"South Figueroa Corridor, Los Angeles, CA",1858
6037242700,"South Los Angeles, Los Angeles, CA",1858
6037501300,"Whittier, CA",1854
6037534201,"South Montebello, Bell Gardens, CA",1852
6037543322,"Carson, CA",1849
6037543802,"Carson, CA",1849
6037433305,"El Monte, CA",1846
6037540501,"Lynwood, CA",1839
6037601402,"Inglewood, CA",1839
6037240500,"South Los Angeles, Los Angeles, CA",1839
6037535607,"South Gate, CA",1837
6037533401,"Maywood, CA",1835
6037502801,"Santa Fe Springs, CA",1834
6037293201,"Harbor, Torrance, CA",1834
6037534501,"Huntington Park, CA",1832
6037550800,"Downey, CA",1831
6037219901,"Los Angeles, CA",1831
6059110201,"Buena Park, CA",1829
6037275500,"Culver City, CA",1823
6059110606,"Buena Park, CA",1822
6037501803,"Whittier, CA",1820
6037203200,"Boyle Heights, Los Angeles, CA",1820
6037231720,"South Figueroa Corridor, Los Angeles, CA",1819
6037531202,"Los Angeles, CA",1818
6037602301,"Hawthorne, CA",1816
6037432700,"El Monte City, El Monte, CA",1816
6037231900,"South Figueroa Corridor, Los Angeles, CA",1816
6037554403,"Bellflower, CA",1814
6037433402,"El Monte, CA",1811
6037240700,"South Los Angeles, Los Angeles, CA",1808
6037603005,"Gardena, CA",1808
6037553801,"Paramount, CA",1803
6037535502,"South Gate, CA",1796
6037555001,"Lakewood, CA",1790
6037229420,"South Los Angeles, Los Angeles, CA",1784
6037433304,"El Monte, CA",1782
6037482402,"Garvey, Rosemead, CA",1778
6037531101,"Los Angeles, CA",1778
6037239802,"South Los Angeles, Los Angeles, CA",1777
6037601802,"Inglewood, CA",1777
6037570701,"Lakewood Mutual, Lakewood, CA",1776
6037570603,"North Long Beach, Long Beach, CA",1774
6059110301,"Buena Park, CA",1774
6037550700,"Downey, CA",1771
6037542401,"Compton, CA",1765
6037550202,"Norwalk, CA",1765
6037240200,"South Los Angeles, Los Angeles, CA",1760
6037500402,"El Rancho, Pico Rivera, CA",1758
6037213401,"Central LA, Los Angeles, CA",1756
6037502901,"East Whitter, Whittier, CA",1755
6037534301,"Cudahy, CA",1752
6037199800,"Northeast Los Angeles, Los Angeles, CA",1751
6037535001,"South Los Angeles, Los Angeles, CA",1750
6037433504,"El Monte City, El Monte, CA",1748
6037228500,"South Figueroa Corridor, Los Angeles, CA",1748
6037534803,"Huntington Park, CA",1738
6037553602,"Paramount, CA",1735
6037482303,"Garvey, Rosemead, CA",1733
6037534405,"Cudahy, CA",1733
6037192520,"Central LA, Los Angeles, CA",1732
6037532800,"South Los Angeles, Los Angeles, CA",1731
6037543304,"Carson, CA",1730
6037191500,"Central LA, Los Angeles, CA",1729
6037238000,"South Los Angeles, Los Angeles, CA",1728
6037601501,"Inglewood, CA",1720
6037542502,"Compton, CA",1720
6037601600,"Inglewood, CA",1717
6037535604,"South Gate, CA",1716
6037543501,"Carson, CA",1714
6037543602,"Torrance, CA",1713
6037533601,"Bell, CA",1712
6059110302,"Buena Park, CA",1710
6037203800,"Boyle Heights, Los Angeles, CA",1708
6037218900,"Jefferson, Los Angeles, CA",1708
6037535803,"South Gate, CA",1706
6037534302,"Cudahy, CA",1706
6037601002,"Inglewood, CA",1706
6037554002,"Bellflower, CA",1704
6037533001,"South Los Angeles, Los Angeles, CA",1700
6037503103,"Whittier, CA",1699
6037530101,"South Montebello, Montebello, CA",1698
6037554900,"Artesia, CA",1697
6037218300,"Central LA, Los Angeles, CA",1692
6037542501,"Compton, CA",1690
6037433102,"El Monte City, El Monte, CA",1678
6037434001,"El Monte, CA",1677
6037229200,"South Los Angeles, Los Angeles, CA",1676
6037231710,"South Figueroa Corridor, Los Angeles, CA",1671
6037213402,"Central LA, Los Angeles, CA",1670
6037551000,"Downey, CA",1666
6037504101,"La Mirada, CA",1666
6037204700,"Boyle Heights, Los Angeles, CA",1660
6037232120,"South Los Angeles, Los Angeles, CA",1657
