"tract","Name","Individual_Income_Excluding_Spouse_rP_gP_pall"
6037191500,"Central LA, Los Angeles, CA",27876
6037603200,"Gardena, CA",27858
6037533403,"Maywood, CA",27852
6037533401,"Maywood, CA",27846
6037220100,"South Los Angeles, Los Angeles, CA",27837
6037533501,"Huntington Park, CA",27835
6037533803,"Bell, CA",27829
6037191201,"Central LA, Los Angeles, CA",27798
6037185203,"Northeast Los Angeles, Los Angeles, CA",27791
6037433402,"El Monte, CA",27790
6037192620,"Central LA, Los Angeles, CA",27783
6037208710,"Central LA, Los Angeles, CA",27776
6037235100,"Park Mesa Heights, Los Angeles, CA",27769
6037212102,"Central LA, Los Angeles, CA",27751
6037213310,"Central LA, Los Angeles, CA",27750
6037544001,"Carson, CA",27721
6037191901,"Central LA, Los Angeles, CA",27706
6037272201,"Mar Vista, Los Angeles, CA",27692
6037540300,"Lynwood, CA",27681
6037212620,"Central LA, Los Angeles, CA",27676
6037204300,"Boyle Heights, Los Angeles, CA",27668
6037213320,"Central LA, Los Angeles, CA",27645
6037192610,"Central LA, Los Angeles, CA",27641
6037534804,"Huntington Park, CA",27628
6037211910,"Central LA, Los Angeles, CA",27616
6037195802,"Central LA, Los Angeles, CA",27615
6037570402,"Coolidge Triangle, Long Beach, CA",27604
6037621204,"South Redondo, Redondo Beach, CA",27597
6037191410,"Central LA, Los Angeles, CA",27596
6037602103,"Hawthorne, CA",27556
6037530101,"South Montebello, Montebello, CA",27554
6037530204,"South Montebello, Montebello, CA",27551
6037554104,"Bellflower, CA",27550
6037197300,"Echo Park, Los Angeles, CA",27546
6037571703,"Addams, Long Beach, CA",27534
6037554404,"Bellflower, CA",27521
6037543321,"Carson, CA",27519
6059086901,"Southwest Anaheim, Anaheim, CA",27518
6037185202,"Mount Washington, Los Angeles, CA",27507
6037532303,"South Montebello, Commerce, CA",27490
6037570501,"Jordan, Long Beach, CA",27478
6037531504,"East Los Angeles, CA",27473
6037502700,"Santa Fe Springs, CA",27471
6037203500,"Boyle Heights, Los Angeles, CA",27446
6037700501,"Central LA, West Hollywood, CA",27444
6037603900,"Lawndale, CA",27443
6037531800,"South Montebello, East Los Angeles, CA",27438
6037433700,"South El Monte, CA",27434
6037603102,"Gardena, CA",27432
6037199900,"Montecito Heights, Los Angeles, CA",27426
6037531902,"South Montebello, East Los Angeles, CA",27423
6037601402,"Inglewood, CA",27413
6037216700,"Central LA, Los Angeles, CA",27391
6037533702,"Maywood, CA",27382
6037601212,"Inglewood, CA",27369
6037433902,"El Monte, CA",27358
6037204120,"Central LA, Los Angeles, CA",27356
6037535503,"South Gate, CA",27352
6037201301,"Montecito Heights, Los Angeles, CA",27350
6037550901,"Downey, CA",27339
6037191610,"Central LA, Los Angeles, CA",27321
6059110500,"Buena Park, CA",27299
6037531603,"East Los Angeles, CA",27280
6037502100,"Whittier, CA",27277
6037535802,"South Gate, CA",27274
6037532102,"South Montebello, Montebello, CA",27268
6037273700,"Venice, Los Angeles, CA",27268
6037187200,"Echo Park, Los Angeles, CA",27229
6037532304,"South Montebello, Commerce, CA",27221
6037555102,"Lakewood, CA",27206
6037533901,"South Montebello, Bell Gardens, CA",27199
6037191420,"Central LA, Los Angeles, CA",27197
6037540102,"Lynwood, CA",27195
6037535002,"South Los Angeles, Los Angeles, CA",27192
6037211121,"Central LA, Los Angeles, CA",27182
6037535902,"South Gate, CA",27163
6037533806,"Bell, CA",27157
6037204410,"Central LA, Los Angeles, CA",27152
6037533804,"Bell, CA",27150
6037702803,"Los Angeles, CA",27129
6037221601,"Jefferson, Los Angeles, CA",27111
6037570202,"Hamilton, Long Beach, CA",27098
6037191301,"East Hollywood, Los Angeles, CA",27091
6037602700,"Hawthorne, CA",27091
6037534403,"Cudahy, CA",27086
6037208502,"Central LA, Los Angeles, CA",27086
6037536000,"South Gate, CA",27081
6037504101,"La Mirada, CA",27073
6037210010,"Central LA, Los Angeles, CA",27069
6037190510,"Central LA, Los Angeles, CA",27068
6037533703,"Maywood, CA",27067
6037201401,"Northeast Los Angeles, Los Angeles, CA",27064
6037500600,"El Rancho, Pico Rivera, CA",27061
6037553504,"Paramount, CA",27040
6037190801,"Central LA, Los Angeles, CA",27031
6037201501,"Northeast Los Angeles, Los Angeles, CA",27027
6037552301,"Norwalk, CA",27027
6037604100,"Lawndale, CA",26995
6037502004,"East Whitter, Whittier, CA",26990
6037603801,"Lawndale, CA",26988
6037531701,"South Montebello, East Los Angeles, CA",26981
6037534001,"South Montebello, Bell Gardens, CA",26972
6037276100,"Los Angeles, CA",26960
6037269906,"Palms, Los Angeles, CA",26959
6037536104,"South Gate, CA",26956
6037503106,"Whittier, CA",26940
6037535607,"South Gate, CA",26936
6037530302,"South Montebello, East Los Angeles, CA",26930
6037190100,"Central LA, Los Angeles, CA",26916
6037215102,"Central LA, Los Angeles, CA",26911
6037203710,"Boyle Heights, Los Angeles, CA",26911
6037218120,"Central LA, Los Angeles, CA",26900
6037191810,"Central LA, Los Angeles, CA",26896
6037530601,"Los Angeles, CA",26882
6037195710,"Los Angeles, CA",26881
6037503103,"Whittier, CA",26865
6059110606,"Buena Park, CA",26849
6037208401,"Central LA, Los Angeles, CA",26844
6037185310,"Northeast Los Angeles, Los Angeles, CA",26819
6037204110,"Boyle Heights, Los Angeles, CA",26817
6037604002,"Lawndale, CA",26808
6059110603,"Buena Park, CA",26800
6037222100,"South Los Angeles, Los Angeles, CA",26783
6037603802,"Lawndale, CA",26766
6037540202,"Lynwood, CA",26761
6037602509,"Hawthorne, CA",26753
6037201120,"Northeast Los Angeles, Los Angeles, CA",26742
6037503105,"Whittier, CA",26737
6037570204,"North Long Beach, Long Beach, CA",26733
6037275102,"Culver City, CA",26722
6037531301,"Los Angeles, CA",26708
6037231720,"South Figueroa Corridor, Los Angeles, CA",26693
6037552302,"Norwalk, CA",26682
6037603001,"Gardena, CA",26680
6037204600,"Boyle Heights, Los Angeles, CA",26669
6037433305,"El Monte, CA",26663
6037208402,"Central LA, Los Angeles, CA",26653
6037209510,"Central LA, Los Angeles, CA",26636
6037535501,"South Gate, CA",26620
6037602104,"Hawthorne, CA",26608
6037601502,"Inglewood, CA",26596
6037554204,"Bellflower, CA",26583
6037553503,"Paramount, CA",26582
6037199700,"Central LA, Los Angeles, CA",26572
6037703001,"Fox Hills, Culver City, CA",26563
6037218701,"Central LA, Los Angeles, CA",26554
6037192700,"Central LA, Los Angeles, CA",26533
6037433403,"El Monte, CA",26528
6037540000,"Lynwood, CA",26516
6037218800,"Central LA, Los Angeles, CA",26513
6037503000,"Whittier, CA",26504
6037214400,"Central LA, Los Angeles, CA",26500
6037602403,"Hawthorne, CA",26497
6037190520,"Central LA, Los Angeles, CA",26487
6037267403,"West Los Angeles, Los Angeles, CA",26477
6037190802,"Central LA, Los Angeles, CA",26473
6037602105,"Hawthorne, CA",26469
6037502302,"Whittier, CA",26467
6037191110,"Central LA, Los Angeles, CA",26465
6037552200,"Norwalk, CA",26461
6037209520,"Central LA, Los Angeles, CA",26457
6037213202,"Central LA, Los Angeles, CA",26454
6037540101,"Lynwood, CA",26454
6037275500,"Culver City, CA",26448
6037553400,"Downey, CA",26444
6037191720,"Central LA, Los Angeles, CA",26442
6037530802,"Los Angeles, CA",26428
6037533601,"Bell, CA",26417
6037212305,"Central LA, Los Angeles, CA",26415
6037552601,"Norwalk, CA",26408
6037532605,"Huntington Park, CA",26405
6037602002,"Hawthorne, CA",26403
6037533701,"Maywood, CA",26396
6037532302,"South Montebello, Los Angeles, CA",26389
6037534002,"South Montebello, Bell Gardens, CA",26377
6037211201,"Central LA, Los Angeles, CA",26371
6037271802,"Palms, Los Angeles, CA",26370
6037273600,"Venice, Los Angeles, CA",26340
6037601700,"Inglewood, CA",26275
6037433504,"El Monte City, El Monte, CA",26275
6037190700,"Central LA, Los Angeles, CA",26250
6037533402,"Maywood, CA",26246
6037222200,"South Los Angeles, Los Angeles, CA",26241
6037228410,"South Los Angeles, Los Angeles, CA",26239
6037221602,"Central LA, Los Angeles, CA",26223
6037531702,"South Montebello, East Los Angeles, CA",26217
6037271200,"Sawtelle, Los Angeles, CA",26188
6037502902,"Santa Fe Springs, CA",26182
6037291120,"Harbor, Gardena, CA",26176
6037530902,"Los Angeles, CA",26171
6037533602,"Bell, CA",26168
6037535804,"South Gate, CA",26158
6037241300,"Harbor Gateway North, Los Angeles, CA",26141
6037533001,"South Los Angeles, Los Angeles, CA",26140
6037218400,"Central LA, Los Angeles, CA",26138
6037571704,"Addams, Long Beach, CA",26137
6037533805,"Bell, CA",26135
6037209402,"Central LA, Los Angeles, CA",26131
6037601501,"Inglewood, CA",26118
6037553802,"Paramount, CA",26111
6037531602,"South Montebello, East Los Angeles, CA",26109
6037204700,"Boyle Heights, Los Angeles, CA",26108
6037201504,"Northeast Los Angeles, Los Angeles, CA",26097
6037532101,"South Montebello, Montebello, CA",26088
6037190902,"Central LA, Los Angeles, CA",26062
6037603004,"Gardena, CA",26059
6037433901,"El Monte, CA",26059
6037189904,"Central LA, Los Angeles, CA",26048
6037703100,"View Park, View Park-Windsor Hills, CA",26037
6037199110,"Montecito Heights, Los Angeles, CA",26033
6037204810,"Boyle Heights, Los Angeles, CA",26029
6037214000,"Central LA, Los Angeles, CA",26006
6037602004,"Inglewood, CA",26005
6037534301,"Cudahy, CA",25993
6037532606,"Huntington Park, CA",25991
6037570304,"North Long Beach, Long Beach, CA",25979
6037541802,"Lynwood, CA",25978
6037226420,"South Los Angeles, Los Angeles, CA",25975
6037229100,"Central Alameda, Los Angeles, CA",25975
6037433501,"El Monte City, South El Monte, CA",25943
6037221402,"Central LA, Los Angeles, CA",25942
6037572400,"Upper Westside, Long Beach, CA",25938
6037604001,"Lawndale, CA",25927
6037602900,"Gardena, CA",25926
6037236400,"Baldwin Hills, Los Angeles, CA",25912
6037543905,"Carson, CA",25896
6037217200,"Central LA, Los Angeles, CA",25885
6037570601,"Lindbergh, Long Beach, CA",25884
6037208620,"Central LA, Los Angeles, CA",25881
6037221710,"Jefferson, Los Angeles, CA",25877
6037533201,"Huntington Park, CA",25870
6037534803,"Huntington Park, CA",25865
6037208301,"Central LA, Los Angeles, CA",25857
6037700502,"Central LA, West Hollywood, CA",25855
6037212202,"Central LA, Los Angeles, CA",25798
6037534201,"South Montebello, Bell Gardens, CA",25784
6037532604,"Huntington Park, CA",25776
6037542104,"East Compton, CA",25768
6037551102,"Downey, CA",25757
6037211921,"Central LA, Los Angeles, CA",25757
6037600703,"Morningside Park, Inglewood, CA",25752
6037224420,"South Los Angeles, Los Angeles, CA",25745
6037190901,"Central LA, Los Angeles, CA",25744
6037501001,"Whittier, CA",25742
6037500402,"El Rancho, Pico Rivera, CA",25739
6037272302,"Mar Vista, Los Angeles, CA",25731
6037533202,"Huntington Park, CA",25726
6037601002,"Inglewood, CA",25703
6037572301,"Arlington, Long Beach, CA",25686
6037540501,"Lynwood, CA",25676
6037602600,"Gardena, CA",25675
6037602003,"Inglewood, CA",25666
6037541801,"Lynwood, CA",25643
6037293202,"Harbor Gateway South, Torrance, CA",25641
6037554302,"Bellflower, CA",25640
6037208801,"Central LA, Los Angeles, CA",25610
6037222001,"Jefferson, Los Angeles, CA",25595
6037239601,"South Los Angeles, Los Angeles, CA",25593
6037500500,"El Rancho, Pico Rivera, CA",25592
6037534404,"Cudahy, CA",25569
6037554301,"Bellflower, CA",25562
6037603005,"Gardena, CA",25551
6037269602,"Central LA, Los Angeles, CA",25538
6037534202,"South Montebello, Bell Gardens, CA",25534
6037531201,"Los Angeles, CA",25527
6037221110,"Central LA, Los Angeles, CA",25526
6037204820,"Boyle Heights, Los Angeles, CA",25494
6037219700,"Jefferson, Los Angeles, CA",25476
6037191203,"Central LA, Los Angeles, CA",25449
6037600911,"Inglewood, CA",25444
6037601802,"Inglewood, CA",25418
6037238400,"South Los Angeles, Los Angeles, CA",25417
6037553602,"Paramount, CA",25417
6037571701,"North Long Beach, Long Beach, CA",25415
6037532700,"South Los Angeles, Los Angeles, CA",25397
6037224320,"Central LA, Los Angeles, CA",25396
6037600801,"Morningside Park, Inglewood, CA",25394
6037218220,"Central LA, Los Angeles, CA",25383
6037530801,"Los Angeles, CA",25379
6037541700,"Lynwood, CA",25378
6037530700,"Los Angeles, CA",25371
6037540201,"South Gate, CA",25356
6037195804,"Silver Lake, Los Angeles, CA",25349
6037535603,"South Gate, CA",25344
6037224200,"Central LA, Los Angeles, CA",25341
6037600704,"Morningside Park, Inglewood, CA",25320
6037534405,"Cudahy, CA",25290
6037531202,"Los Angeles, CA",25284
6037222500,"South Los Angeles, Los Angeles, CA",25279
6037211122,"Central LA, Los Angeles, CA",25264
6037540203,"Lynwood, CA",25263
6037533105,"Huntington Park, CA",25258
6037530400,"Monterey Park, CA",25241
6037570403,"College Square, Long Beach, CA",25222
6037502802,"Santa Fe Springs, CA",25217
6037212502,"Central LA, Los Angeles, CA",25200
6037534900,"South Los Angeles, Los Angeles, CA",25179
6037292000,"Harbor, Torrance, CA",25175
6037219300,"Jefferson, Los Angeles, CA",25171
6037532002,"South Montebello, Montebello, CA",25169
6037237401,"South Los Angeles, Los Angeles, CA",25155
6037219902,"Los Angeles, CA",25140
6037433801,"South El Monte, CA",25137
6037600502,"Inglewood, CA",25113
6037205110,"Boyle Heights, Los Angeles, CA",25112
6037553601,"Paramount, CA",25090
6037221900,"South Los Angeles, Los Angeles, CA",25084
6037221303,"Central LA, Los Angeles, CA",25083
6037234300,"Leimert Park, Los Angeles, CA",25083
6037600902,"Inglewood, CA",25083
6037530901,"Los Angeles, CA",25073
6037501504,"Whittier, CA",25071
6037218300,"Central LA, Los Angeles, CA",25066
6037603704,"Hawthorne, CA",25065
6037228310,"South Los Angeles, Los Angeles, CA",25060
6037231800,"South Figueroa Corridor, Los Angeles, CA",25058
6037203720,"Boyle Heights, Los Angeles, CA",25051
6037531901,"South Montebello, East Los Angeles, CA",25044
6037434001,"El Monte, CA",25044
6037534102,"South Montebello, Bell Gardens, CA",25041
6037221302,"Central LA, Los Angeles, CA",25030
6037533603,"Bell, CA",25010
6037226410,"South Los Angeles, Los Angeles, CA",24998
6037234600,"Park Mesa Heights, Los Angeles, CA",24976
6037218110,"Central LA, Los Angeles, CA",24970
6037203300,"Northeast Los Angeles, Los Angeles, CA",24958
6037269601,"Central LA, Los Angeles, CA",24955
6037531503,"East Los Angeles, CA",24933
6037208000,"Central LA, Los Angeles, CA",24918
6037203600,"Boyle Heights, Los Angeles, CA",24905
6037231500,"Leimert Park, Los Angeles, CA",24897
6037227010,"South Los Angeles, Los Angeles, CA",24896
6037531302,"Los Angeles, CA",24895
6037433302,"El Monte, CA",24887
6037602508,"Hawthorne, CA",24878
6037501503,"Whittier, CA",24865
6037601900,"Inglewood, CA",24856
6037501400,"Whittier, CA",24851
6037203100,"Northeast Los Angeles, Los Angeles, CA",24829
6037532900,"South Los Angeles, Los Angeles, CA",24824
6037212204,"Central LA, Los Angeles, CA",24824
6037209102,"Central LA, Los Angeles, CA",24823
6037213402,"Central LA, Los Angeles, CA",24810
6037204910,"Boyle Heights, Los Angeles, CA",24802
6037237202,"South Los Angeles, Los Angeles, CA",24767
6037541001,"Gardena, CA",24763
6037542106,"East Compton, CA",24754
6037212900,"Central LA, Los Angeles, CA",24744
6037203800,"Boyle Heights, Los Angeles, CA",24712
6037533300,"Maywood, CA",24698
6037221120,"Central LA, Los Angeles, CA",24693
6037203900,"Boyle Heights, Los Angeles, CA",24691
6037570203,"North Long Beach, Long Beach, CA",24687
6037215101,"Central LA, Los Angeles, CA",24673
6037572500,"West Side, Long Beach, CA",24658
6037501804,"Whittier, CA",24645
6037212303,"Central LA, Los Angeles, CA",24617
6037211320,"Central LA, Los Angeles, CA",24606
6037570404,"Freeway Circle, Long Beach, CA",24602
6037219901,"Los Angeles, CA",24599
6037221500,"South Los Angeles, Los Angeles, CA",24592
6037212410,"Central LA, Los Angeles, CA",24588
6037218500,"Central LA, Los Angeles, CA",24575
6037221401,"Jefferson, Los Angeles, CA",24558
6037205120,"Central LA, Los Angeles, CA",24537
6037211202,"Central LA, Los Angeles, CA",24535
6037219800,"Los Angeles, CA",24522
6037531101,"Los Angeles, CA",24505
6037219010,"South Los Angeles, Los Angeles, CA",24492
6037231300,"South Los Angeles, Los Angeles, CA",24484
6037532603,"Huntington Park, CA",24475
6037222002,"South Los Angeles, Los Angeles, CA",24473
6037270300,"Central LA, Los Angeles, CA",24459
6037211310,"Central LA, Los Angeles, CA",24457
6037291220,"Harbor, Gardena, CA",24451
6037553702,"Paramount, CA",24443
6037531000,"Los Angeles, CA",24442
6037229300,"South Figueroa Corridor, Los Angeles, CA",24424
6037600802,"Morningside Park, Inglewood, CA",24419
6037553801,"Paramount, CA",24417
6037269904,"Palms, Los Angeles, CA",24402
6037532200,"South Montebello, Montebello, CA",24398
6037701802,"Pico, Santa Monica, CA",24376
6037535300,"South Los Angeles, Los Angeles, CA",24371
6037195720,"Echo Park, Los Angeles, CA",24354
6037273200,"Venice, Los Angeles, CA",24344
6037203200,"Boyle Heights, Los Angeles, CA",24332
6037601211,"Inglewood, CA",24293
6037191000,"Central LA, Los Angeles, CA",24289
6037237402,"South Los Angeles, Los Angeles, CA",24283
6037237101,"South Figueroa Corridor, Los Angeles, CA",24260
6037218702,"Jefferson, Los Angeles, CA",24250
6037218600,"Central LA, Los Angeles, CA",24214
6037540902,"South Los Angeles, Los Angeles, CA",24201
6037531604,"East Los Angeles, CA",24189
6037551300,"Downey, CA",24181
6037275200,"Los Angeles, CA",24164
6037228100,"South Los Angeles, Los Angeles, CA",24149
6037552400,"Norwalk, CA",24147
6037208902,"Central LA, Los Angeles, CA",24110
6037226700,"South Los Angeles, Los Angeles, CA",24103
6037601801,"Inglewood, CA",24089
6037530500,"East Los Angeles, CA",24087
6037229200,"South Los Angeles, Los Angeles, CA",24085
6037237800,"South Los Angeles, Los Angeles, CA",24084
6037277200,"Westchester, Los Angeles, CA",24078
6037535001,"South Los Angeles, Los Angeles, CA",24071
6037554403,"Bellflower, CA",24067
6037535101,"South Los Angeles, Los Angeles, CA",24047
6037553902,"Paramount, CA",24041
6037602802,"South Los Angeles, Los Angeles, CA",24011
6037272202,"Mar Vista, Los Angeles, CA",24010
6037219020,"South Los Angeles, Los Angeles, CA",23990
6037234800,"Park Mesa Heights, Los Angeles, CA",23984
6037191204,"Central LA, Los Angeles, CA",23970
6037204200,"Boyle Heights, Los Angeles, CA",23966
6037208904,"Central LA, Los Angeles, CA",23958
6037542000,"Compton, CA",23946
6037553502,"Paramount, CA",23930
6037542105,"Compton, CA",23927
6037207301,"Central LA, Los Angeles, CA",23913
6037224600,"South Figueroa Corridor, Los Angeles, CA",23886
6037228210,"South Los Angeles, Los Angeles, CA",23868
6037228420,"South Los Angeles, Los Angeles, CA",23835
6037432802,"El Monte City, El Monte, CA",23825
6037217100,"Central LA, Los Angeles, CA",23824
6037570301,"North Long Beach, Long Beach, CA",23819
6037602504,"Hawthorne, CA",23811
6037602801,"South Los Angeles, Los Angeles, CA",23811
6037600304,"South Los Angeles, Los Angeles, CA",23805
6037208302,"Central LA, Los Angeles, CA",23790
6037228600,"South Los Angeles, Los Angeles, CA",23762
6037600400,"South Los Angeles, Los Angeles, CA",23754
6037231600,"South Los Angeles, Los Angeles, CA",23730
6037224020,"South Los Angeles, Los Angeles, CA",23702
6037543100,"Compton, CA",23699
6037542602,"Compton, CA",23693
6037570303,"North Long Beach, Long Beach, CA",23692
6037239502,"South Los Angeles, Los Angeles, CA",23686
6037540502,"Lynwood, CA",23676
6037220000,"Jefferson, Los Angeles, CA",23667
6037542601,"Compton, CA",23663
6037533103,"Huntington Park, CA",23642
6037270100,"Palms, Los Angeles, CA",23641
6037221820,"Jefferson, Los Angeles, CA",23641
6037209401,"Central LA, Los Angeles, CA",23608
6037600601,"Inglewood, CA",23592
6037602507,"Hawthorne, CA",23591
6037543000,"Compton, CA",23567
6037502003,"East Whitter, Whittier, CA",23552
6037570603,"North Long Beach, Long Beach, CA",23519
6037540800,"South Los Angeles, Los Angeles, CA",23504
6037218210,"Central LA, Los Angeles, CA",23490
6037533104,"Huntington Park, CA",23480
6037228500,"South Figueroa Corridor, Los Angeles, CA",23479
6037222600,"South Los Angeles, Los Angeles, CA",23471
6037236100,"Baldwin Village, Los Angeles, CA",23449
6037212501,"Central LA, Los Angeles, CA",23438
6037432801,"El Monte City, El Monte, CA",23435
6037555211,"Hawaiian Gardens, CA",23385
6037209820,"Central LA, Los Angeles, CA",23382
6037239602,"South Los Angeles, Los Angeles, CA",23377
6037501803,"Whittier, CA",23371
6037541002,"Carson, CA",23371
6037534302,"Cudahy, CA",23371
6037239802,"South Los Angeles, Los Angeles, CA",23363
6037231900,"South Figueroa Corridor, Los Angeles, CA",23349
6037237102,"South Figueroa Corridor, Los Angeles, CA",23330
6037209300,"Central LA, Los Angeles, CA",23329
6037232700,"South Figueroa Corridor, Los Angeles, CA",23310
6037232120,"South Los Angeles, Los Angeles, CA",23262
6037554105,"Bellflower, CA",23252
6037191120,"Central LA, Los Angeles, CA",23250
6037229410,"South Los Angeles, Los Angeles, CA",23231
6037540400,"South Los Angeles, Los Angeles, CA",23221
6037601100,"Inglewood, CA",23214
6037239202,"South Los Angeles, Los Angeles, CA",23188
6037231210,"South Los Angeles, Los Angeles, CA",23153
6037228220,"South Los Angeles, Los Angeles, CA",23150
6037232110,"South Figueroa Corridor, Los Angeles, CA",23141
6037195901,"Silver Lake, Los Angeles, CA",23136
6037542200,"Compton, CA",23129
6037239310,"South Los Angeles, Los Angeles, CA",23119
6037234501,"South Los Angeles, Los Angeles, CA",23118
6037221810,"South Los Angeles, Los Angeles, CA",23101
6037204920,"Boyle Heights, Los Angeles, CA",23097
6037240200,"South Los Angeles, Los Angeles, CA",23087
6037535102,"South Los Angeles, Los Angeles, CA",23079
6037239320,"South Los Angeles, Los Angeles, CA",23057
6037541604,"Compton, CA",23044
6037600302,"South Los Angeles, Los Angeles, CA",23023
6037232400,"South Los Angeles, Los Angeles, CA",23009
6037232800,"South Figueroa Corridor, Los Angeles, CA",23006
6037241201,"South Los Angeles, Los Angeles, CA",23001
6037218900,"Jefferson, Los Angeles, CA",22999
6037231400,"Leimert Park, Los Angeles, CA",22984
6037243000,"South Los Angeles, Los Angeles, CA",22979
6037232600,"South Los Angeles, Los Angeles, CA",22956
6037541606,"Compton, CA",22944
6037601303,"Inglewood, CA",22926
6037206200,"Central LA, Los Angeles, CA",22917
6037240900,"South Los Angeles, Los Angeles, CA",22908
6037541300,"Compton, CA",22848
6037277400,"Los Angeles, CA",22844
6037208720,"Central LA, Los Angeles, CA",22839
6037542103,"Compton, CA",22830
6037600201,"South Los Angeles, Los Angeles, CA",22794
6037533002,"South Los Angeles, Los Angeles, CA",22786
6037232500,"South Los Angeles, Los Angeles, CA",22771
6037234200,"Leimert Park, Los Angeles, CA",22713
6037542700,"Compton, CA",22705
6037541500,"South Los Angeles, Compton, CA",22699
6037232300,"South Los Angeles, Los Angeles, CA",22696
6037535200,"South Los Angeles, Los Angeles, CA",22682
6037242700,"South Los Angeles, Los Angeles, CA",22678
6037228320,"South Los Angeles, Los Angeles, CA",22670
6037241120,"South Los Angeles, Los Angeles, CA",22618
6037541605,"Compton, CA",22617
6037534101,"South Montebello, Bell Gardens, CA",22583
6037543305,"Los Angeles County, CA",22579
6037237300,"South Los Angeles, Los Angeles, CA",22561
6037242200,"South Los Angeles, Los Angeles, CA",22543
6037601302,"Inglewood, CA",22537
6037234502,"South Los Angeles, Los Angeles, CA",22534
6037601001,"Inglewood, CA",22533
6037228800,"Central Alameda, Los Angeles, CA",22517
6037239201,"South Los Angeles, Los Angeles, CA",22501
6037542800,"Compton, CA",22501
6037541200,"Compton, CA",22473
6037229420,"South Los Angeles, Los Angeles, CA",22465
6037221304,"Central LA, Los Angeles, CA",22410
6037228720,"South Los Angeles, Los Angeles, CA",22365
6037227020,"South Los Angeles, Los Angeles, CA",22345
6037541400,"South Los Angeles, Compton, CA",22341
6037540901,"South Los Angeles, Los Angeles, CA",22331
6037542402,"Compton, CA",22322
6037239702,"South Los Angeles, Los Angeles, CA",22321
6037237720,"South Figueroa Corridor, Los Angeles, CA",22308
6037231100,"South Los Angeles, Los Angeles, CA",22245
6037541100,"Compton, CA",22177
6037204420,"Boyle Heights, Los Angeles, CA",22166
6037535400,"South Los Angeles, Los Angeles, CA",22132
6037212304,"Central LA, Los Angeles, CA",22120
6037555212,"Hawaiian Gardens, CA",22093
6037208903,"Central LA, Los Angeles, CA",22087
6037542501,"Compton, CA",22010
6037209104,"Central LA, Los Angeles, CA",21961
6037542401,"Compton, CA",21954
6037600702,"Morningside Park, Inglewood, CA",21950
6037241002,"South Los Angeles, Los Angeles, CA",21902
6037542900,"Compton, CA",21898
6037235201,"Park Mesa Heights, Los Angeles, CA",21897
6037240020,"South Los Angeles, Los Angeles, CA",21728
6037238000,"South Los Angeles, Los Angeles, CA",21713
6037532800,"South Los Angeles, Los Angeles, CA",21657
6037207302,"Central LA, Los Angeles, CA",21639
6037242300,"South Los Angeles, Los Angeles, CA",21632
6037240402,"South Los Angeles, Los Angeles, CA",21606
6037543201,"Compton, CA",21602
6037241400,"Harbor, Los Angeles, CA",21592
6037542502,"Compton, CA",21588
6037239501,"South Los Angeles, Los Angeles, CA",21571
6037240500,"South Los Angeles, Los Angeles, CA",21546
6037602505,"Hawthorne, CA",21541
6037231220,"South Figueroa Corridor, Los Angeles, CA",21519
6037234700,"Park Mesa Heights, Los Angeles, CA",21451
6037543202,"Compton, CA",21428
6037206032,"Central LA, Los Angeles, CA",21419
6037237600,"South Figueroa Corridor, Los Angeles, CA",21411
6037238100,"South Los Angeles, Los Angeles, CA",21357
6037239330,"South Los Angeles, Los Angeles, CA",21291
6037207502,"Downtown, Los Angeles, CA",21257
6037237900,"South Los Angeles, Los Angeles, CA",21248
6037240800,"South Los Angeles, Los Angeles, CA",21244
6037209810,"Central LA, Los Angeles, CA",21216
6037602506,"Hawthorne, CA",21202
6037541603,"Compton, CA",21152
6037241001,"South Los Angeles, Los Angeles, CA",21149
6037207710,"Central LA, Los Angeles, CA",21148
6037240401,"South Los Angeles, Los Angeles, CA",21141
6037224010,"Central LA, Los Angeles, CA",21123
6037241110,"South Los Angeles, Los Angeles, CA",21076
6037240010,"South Los Angeles, Los Angeles, CA",21009
6037228710,"Central Alameda, Los Angeles, CA",20972
6037239701,"South Los Angeles, Los Angeles, CA",20936
6037236202,"Baldwin Village, Los Angeles, CA",20931
6037240300,"South Los Angeles, Los Angeles, CA",20916
6037224310,"Central LA, Los Angeles, CA",20900
6037206031,"Arts District, Los Angeles, CA",20897
6037239801,"South Los Angeles, Los Angeles, CA",20831
6037238310,"South Figueroa Corridor, Los Angeles, CA",20775
6037231710,"South Figueroa Corridor, Los Angeles, CA",20770
6037240700,"South Los Angeles, Los Angeles, CA",20766
6037240600,"South Los Angeles, Los Angeles, CA",20765
6037273300,"Venice, Los Angeles, CA",20742
6037237710,"South Figueroa Corridor, Los Angeles, CA",20725
6037228900,"Central Alameda, Los Angeles, CA",20640
6037237500,"South Figueroa Corridor, Los Angeles, CA",20571
6037209103,"Central LA, Los Angeles, CA",20540
6037232200,"South Los Angeles, Los Angeles, CA",20529
6037236203,"Crenshaw, Los Angeles, CA",20509
6037235202,"Park Mesa Heights, Los Angeles, CA",20508
6037238200,"South Los Angeles, Los Angeles, CA",20466
6037291110,"Harbor, Los Angeles, CA",20462
6037540700,"South Los Angeles, Los Angeles, CA",20302
6037238320,"South Figueroa Corridor, Los Angeles, CA",20272
6037237201,"South Los Angeles, Los Angeles, CA",20195
6037242000,"South Los Angeles, Los Angeles, CA",20072
6037600100,"South Los Angeles, Los Angeles, CA",20027
